id,행정구역코드,region_parent,region_child,nx,ny,경도(시),경도(분),경도(초),위도(시),위도(분),위도(초)
1,1111000000,서울특별시,종로구,60,127,126,58,53.91,37,34,13.36
2,1114000000,서울특별시,중구,60,127,126,59,58.71,37,33,39.61
3,1117000000,서울특별시,용산구,60,126,126,58,3.08,37,32,9.94
4,1120000000,서울특별시,성동구,61,127,127,2,20.4,37,33,38.2
5,1121500000,서울특별시,광진구,62,126,127,5,4.32,37,32,8.66
6,1123000000,서울특별시,동대문구,61,127,127,2,31.71,37,34,17.85
7,1126000000,서울특별시,중랑구,62,128,127,5,41.2,37,36,13.7
8,1129000000,서울특별시,성북구,61,127,127,1,13.2,37,35,10.98
9,1130500000,서울특별시,강북구,61,128,127,1,39.79,37,38,13.04
10,1132000000,서울특별시,도봉구,61,129,127,2,58.28,37,39,57
11,1135000000,서울특별시,노원구,61,129,127,3,30.2,37,39,5.26
12,1138000000,서울특별시,은평구,59,127,126,55,52.47,37,35,59.89
13,1141000000,서울특별시,서대문구,59,127,126,56,20.03,37,34,34.92
14,1144000000,서울특별시,마포구,59,127,126,54,37.91,37,33,38.54
15,1147000000,서울특별시,양천구,58,126,126,52,7.35,37,30,51.23
16,1150000000,서울특별시,강서구,58,126,126,51,6.03,37,32,53.36
17,1153000000,서울특별시,구로구,58,125,126,53,22.55,37,29,33.54
18,1154500000,서울특별시,금천구,59,124,126,54,15.11,37,26,56.79
19,1156000000,서울특별시,영등포구,58,126,126,53,54.03,37,31,25
20,1159000000,서울특별시,동작구,59,125,126,56,29.67,37,30,34.76
21,1162000000,서울특별시,관악구,59,125,126,57,13.84,37,28,31.39
22,1165000000,서울특별시,서초구,61,125,127,2,5.32,37,28,50.83
23,1168000000,서울특별시,강남구,61,126,127,2,58.4,37,30,52.47
24,1171000000,서울특별시,송파구,62,126,127,6,28.55,37,30,42.32
25,1174000000,서울특별시,강동구,62,126,127,7,33.11,37,31,38.52
26,2611000000,부산광역시,중구,97,74,129,2,4.23,35,6,11.58
27,2614000000,부산광역시,서구,97,74,129,1,34.96,35,5,41.41
28,2617000000,부산광역시,동구,98,75,129,3,33.03,35,8,9.22
29,2620000000,부산광역시,영도구,98,74,129,4,12.67,35,5,17.22
30,2623000000,부산광역시,부산진구,97,75,129,3,19.15,35,9,35.83
31,2626000000,부산광역시,동래구,98,76,129,5,9.08,35,12,6.74
32,2629000000,부산광역시,남구,98,75,129,5,11.4,35,8,0.27
33,2632000000,부산광역시,북구,96,76,128,59,32.91,35,11,39.05
34,2635000000,부산광역시,해운대구,99,75,129,9,56.91,35,9,36.07
35,2638000000,부산광역시,사하구,96,74,128,58,37.35,35,6,5.14
36,2641000000,부산광역시,금정구,98,77,129,5,39.55,35,14,24.28
37,2644000000,부산광역시,강서구,96,76,128,58,58.47,35,12,32.99
